participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
4awxvpoy,1,s2_p,1.0,AC_p,"0, -1, -1",Non-Neutral,0.0,0.0
4awxvpoy,2,s2_p,1.0,AC_p,"0, 0, -1",Non-Neutral,0.0,0.0
4awxvpoy,3,s2_p,-1.0,AC_p,"1, 1, 1",Non-Neutral,-2.0,2.0
4awxvpoy,4,s2_p,0.0,AC_p,"1, 1, -1",Non-Neutral,1.0,1.0
4awxvpoy,5,s2_p,1.0,AC_p,"1, -1, -1",Non-Neutral,1.0,1.0
4awxvpoy,6,s2_p,1.0,AC_p,"0, -1, 1",Non-Neutral,0.0,0.0
4awxvpoy,7,s2_p,1.0,AC_p,"-1, -1, -1",Non-Neutral,0.0,0.0
4awxvpoy,8,s2_p,1.0,AC_p,"0, 1, 0",Non-Neutral,0.0,0.0
4awxvpoy,9,s2_p,0.0,AC_p,"0, 1, 1",Non-Neutral,-1.0,1.0
4awxvpoy,10,s2_p,1.0,AC_p,"0, 0, 0",Non-Neutral,1.0,1.0
4mmqht8k,1,s4_n,0.0,AC_n,"0, 0, 1",Neutral,0.0,0.0
4mmqht8k,2,s4_n,1.0,AC_n,"1, -1, 1",Neutral,1.0,1.0
4mmqht8k,3,s4_n,-1.0,AC_n,"-1, 0, -1",Neutral,-2.0,2.0
4mmqht8k,4,s4_n,1.0,AC_n,"1, 1, 1",Neutral,2.0,2.0
4mmqht8k,5,s4_n,-1.0,AC_n,"-1, -1, -1",Neutral,-2.0,2.0
4mmqht8k,6,s4_n,0.0,AC_n,"1, 0, 1",Neutral,1.0,1.0
4mmqht8k,7,s4_n,0.0,AC_n,"1, 0, -1",Neutral,0.0,0.0
4mmqht8k,8,s4_n,0.0,AC_n,"0, 0, 0",Neutral,0.0,0.0
4mmqht8k,9,s4_n,-1.0,AC_n,"-1, 1, -1",Neutral,-1.0,1.0
4mmqht8k,10,s4_n,0.0,AC_n,"-1, 0, 0",Neutral,1.0,1.0
4rwo4ca5,1,s4_p,-1.0,AC_p,"-1, -1, -1",Non-Neutral,0.0,0.0
4rwo4ca5,2,s4_p,-1.0,AC_p,"1, 0, 1",Non-Neutral,0.0,0.0
4rwo4ca5,3,s4_p,1.0,AC_p,"1, 1, 1",Non-Neutral,2.0,2.0
4rwo4ca5,4,s4_p,-1.0,AC_p,"-1, 1, -1",Non-Neutral,-2.0,2.0
4rwo4ca5,5,s4_p,-1.0,AC_p,"-1, 1, 0",Non-Neutral,0.0,0.0
4rwo4ca5,6,s4_p,-1.0,AC_p,"1, -1, 1",Non-Neutral,0.0,0.0
4rwo4ca5,7,s4_p,-1.0,AC_p,"0, 0, 1",Non-Neutral,0.0,0.0
4rwo4ca5,8,s4_p,-1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
4rwo4ca5,9,s4_p,-1.0,AC_p,"0, -1, -1",Non-Neutral,0.0,0.0
4rwo4ca5,10,s4_p,-1.0,AC_p,"0, -1, 0",Non-Neutral,0.0,0.0
5b2ac6jz,1,s2_n,0.0,AC_n,"-1, 1, 1",Neutral,0.0,0.0
5b2ac6jz,2,s2_n,0.0,AC_n,"0, 0, 0",Neutral,0.0,0.0
5b2ac6jz,3,s2_n,0.0,AC_n,"1, 1, 1",Neutral,0.0,0.0
5b2ac6jz,4,s2_n,0.0,AC_n,"0, 1, 0",Neutral,0.0,0.0
5b2ac6jz,5,s2_n,0.0,AC_n,"0, -1, -1",Neutral,0.0,0.0
5b2ac6jz,6,s2_n,0.0,AC_n,"1, -1, -1",Neutral,0.0,0.0
5b2ac6jz,7,s2_n,0.0,AC_n,"0, -1, 0",Neutral,0.0,0.0
5b2ac6jz,8,s2_n,0.0,AC_n,"1, -1, 0",Neutral,0.0,0.0
5b2ac6jz,9,s2_n,0.0,AC_n,"-1, -1, -1",Neutral,0.0,0.0
